Offence,Cases,Offences_total,Attempts,Solved,Suspects_total,Legal_entities,Natural_persons,Male,Female,Gender_unknown,Under_10,Age_10_14,Age_15_17,Age_18_19,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_49,Age_50_59,Age_60_69,Age_70_plus,Age_unknown,Swiss,Foreign,Foreign_residents,Asylum_population,Other_foreigners,Year
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung",12822.0,17858.0,58.0,17489.0,12001.0,2.0,11999.0,10745.0,1254.0,0.0,0.0,144.0,1035.0,1369.0,2933.0,2261.0,1441.0,1107.0,1323.0,318.0,47.0,8.0,13.0,5929.0,6070.0,2476.0,1052.0,2542.0,2009
davon Vergehen,10683.0,13351.0,51.0,13050.0,9606.0,2.0,9604.0,8637.0,967.0,0.0,0.0,140.0,982.0,1236.0,2396.0,1691.0,1082.0,838.0,976.0,230.0,30.0,2.0,1.0,5361.0,4243.0,2017.0,802.0,1424.0,2009
"anbauen, herstellen oder anders erzeugen",638.0,707.0,6.0,698.0,684.0,1.0,683.0,619.0,64.0,0.0,0.0,3.0,27.0,35.0,128.0,135.0,108.0,79.0,132.0,33.0,3.0,0.0,0.0,579.0,104.0,90.0,1.0,13.0,2009
"lagern, versenden, befördern, einführen, ausführen oder durchführen",444.0,480.0,7.0,458.0,438.0,0.0,438.0,359.0,79.0,0.0,0.0,0.0,15.0,30.0,105.0,107.0,58.0,34.0,66.0,18.0,5.0,0.0,0.0,181.0,257.0,66.0,9.0,182.0,2009
"besitzen, aufbewahren, erwerben, anders erlangen",6996.0,7209.0,3.0,7029.0,6355.0,2.0,6353.0,5748.0,605.0,0.0,0.0,79.0,668.0,801.0,1623.0,1090.0,722.0,575.0,619.0,153.0,23.0,0.0,0.0,3710.0,2643.0,1334.0,393.0,916.0,2009
Ehemalige Kategorie Handel (Vergehen),4619.0,4955.0,35.0,4865.0,4320.0,1.0,4319.0,3911.0,408.0,0.0,0.0,67.0,421.0,578.0,1030.0,763.0,487.0,377.0,467.0,114.0,12.0,2.0,1.0,2124.0,2195.0,945.0,603.0,647.0,2009
davon Verbrechen,2405.0,4507.0,7.0,4439.0,2844.0,0.0,2844.0,2506.0,338.0,0.0,0.0,6.0,67.0,174.0,637.0,660.0,417.0,311.0,417.0,113.0,24.0,6.0,12.0,767.0,2077.0,550.0,304.0,1223.0,2009
"anbauen, herstellen oder anders erzeugen",143.0,157.0,0.0,156.0,126.0,0.0,126.0,109.0,17.0,0.0,0.0,1.0,1.0,3.0,16.0,31.0,20.0,15.0,25.0,12.0,1.0,1.0,0.0,96.0,30.0,26.0,0.0,4.0,2009
"lagern, versenden, befördern, einführen, ausführen oder durchführen",246.0,412.0,2.0,404.0,349.0,0.0,349.0,281.0,68.0,0.0,0.0,0.0,4.0,16.0,55.0,61.0,63.0,44.0,66.0,20.0,6.0,4.0,10.0,74.0,275.0,65.0,13.0,197.0,2009
"besitzen, aufbewahren, erwerben, anders erlangen",1095.0,1219.0,1.0,1191.0,1213.0,0.0,1213.0,1114.0,99.0,0.0,0.0,3.0,35.0,83.0,310.0,297.0,153.0,128.0,141.0,47.0,6.0,2.0,8.0,270.0,943.0,166.0,151.0,626.0,2009
Ehemalige Kategorie Handel (Verbrechen),2040.0,2719.0,4.0,2688.0,2432.0,0.0,2432.0,2153.0,279.0,0.0,0.0,5.0,57.0,160.0,552.0,569.0,348.0,268.0,353.0,91.0,22.0,3.0,4.0,623.0,1809.0,492.0,290.0,1027.0,2009
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, diplomatisches Personal, internationale Funktionäre/innen, Ausweis Ci 
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, Touristen/innen / legal Anwesende ohne ausweispflichtigen Status, Asylsuchende mit Nichteintretensentscheid, abgewiesene Asylsuchende mit Sozialhilfestopp, Rückweisung an der Grenze, illegaler Aufenthalt, im Meldeverfahren, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
"4) Die Kantone Jura und Neuenburg konnten die Codes für BetmG-Übertretungen bis 2019 nicht erfassen, der Kanton Freiburg bis 2020 nicht.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
Stand der Datenbank: 10.02.2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
© BFS 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
